head_node	edge_relation 	head_node edge_relation /r/Antonymhead ofnode edge
guitarist	/r/UsedFor 	guitarist /r/UsedFormusic producer
linguist	/r/UsedFor 	linguist /r/UsedForoccupation
poet	/r/UsedFor 	poet /r/UsedForcattle dog
laborer	/r/UsedFor 	laborer /r/UsedForeconomic concept
teacher	/r/UsedFor 	teacher /r/UsedForsemi-adult
delivery man	/r/UsedFor 	delivery man /r/UsedFordelivery
realtor	/r/UsedFor 	realtor /r/UsedForprofessional photography
pilot	/r/UsedFor 	pilot /r/UsedFormilitary aviation
professor	/r/UsedFor 	professor /r/UsedForprofessor
chemist	/r/UsedFor 	chemist /r/UsedForbranch of mathematics
historian	/r/UsedFor 	historian /r/UsedForhistorical literary work
pensioner	/r/UsedFor 	pensioner /r/UsedForpayment
performing artist	/r/UsedFor 	performing artist /r/UsedForprofessional artist
singer	/r/UsedFor 	singer /r/UsedForscholarly article
secretary	/r/UsedFor 	secretary /r/UsedFordeputy
auditor	/r/UsedFor 	auditor /r/UsedForspecialty
counselor	/r/UsedFor 	counselor /r/UsedForcounseling
designer	/r/UsedFor 	designer /r/UsedFordesign process
soldier	/r/UsedFor 	soldier /r/UsedFormilitary rank
journalist	/r/UsedFor 	journalist /r/UsedForjournalist
dentist	/r/UsedFor 	dentist /r/UsedForhuman organ
analyst	/r/UsedFor 	analyst /r/UsedForphilosophical theory
nurse	/r/UsedFor 	nurse /r/UsedFormedical specialty
tailor	/r/UsedFor 	tailor /r/UsedForoccupation
waiter	/r/UsedFor 	waiter /r/UsedForexercise form
author	/r/UsedFor 	author /r/UsedForauthor
architect	/r/UsedFor 	architect /r/UsedForarchitectural style
academic	/r/UsedFor 	academic /r/UsedForacademic position
director	/r/UsedFor 	director /r/UsedForeditor
illustrator	/r/UsedFor 	illustrator /r/UsedFordrawing
clerk	/r/UsedFor 	clerk /r/UsedForclerk poisoning
policeman	/r/UsedFor 	policeman /r/UsedForoccupation
chef	/r/UsedFor 	chef /r/UsedForchicken dish
photographer	/r/UsedFor 	photographer /r/UsedForphotographer
drawer	/r/UsedFor 	drawer /r/UsedFordrawing
cleaner	/r/UsedFor 	cleaner /r/UsedFordrycleaner
pharmacist	/r/UsedFor 	pharmacist /r/UsedForcrime fiction
pianist	/r/UsedFor 	pianist /r/UsedForscholarly article
composer	/r/UsedFor 	composer /r/UsedForcarpet
handball player	/r/UsedFor 	handball player /r/UsedForhandball position
sociologist	/r/UsedFor 	sociologist /r/UsedForoccupation
african american	/r/PartOf 	african american /r/PartOfasian
armenian	/r/PartOf 	armenian /r/PartOfmilitary specialty
persian	/r/PartOf 	persian /r/PartOfchord music
american	/r/PartOf 	american /r/PartOfcinematic technique
filipino	/r/PartOf 	filipino /r/PartOffilipino
english	/r/PartOf 	english /r/PartOfformula
norwegian	/r/PartOf 	norwegian /r/PartOfpale
dutch	/r/PartOf 	dutch /r/PartOfelectrical cord
israeli	/r/PartOf 	israeli /r/PartOfoccupation
nigerian	/r/PartOf 	nigerian /r/PartOfnorthern hemisphere
ethiopia	/r/PartOf 	ethiopia /r/PartOfpig festival
europe	/r/PartOf 	europe /r/PartOfeurope /r/symbol
european	/r/PartOf 	european /r/PartOfgeographic border system
russian	/r/PartOf 	russian /r/PartOfstate
ukraine	/r/PartOf 	ukraine /r/PartOfmilitary operation
sudan	/r/PartOf 	sudan /r/PartOftribal government
afghanistan	/r/PartOf 	afghanistan /r/PartOfpossible nuclear weapons state
iraq	/r/PartOf 	iraq /r/PartOfhiking jacket
yemen	/r/PartOf 	yemen /r/PartOffemale human
ukrainian	/r/PartOf 	ukrainian /r/PartOfsouthern mountain
russia	/r/PartOf 	russia /r/PartOfwarship
italy	/r/PartOf 	italy /r/PartOfsocial problem
somali	/r/PartOf 	somali /r/PartOfsomales
iran	/r/PartOf 	iran /r/PartOfship type
afghan	/r/PartOf 	afghan /r/PartOfswimming pool
indian	/r/PartOf 	indian /r/PartOfindian cheese
italian	/r/PartOf 	italian /r/PartOfsoutheast
australian	/r/PartOf 	australian /r/PartOfalpine
spanish	/r/PartOf 	spanish /r/PartOfspatial location
guatemalan	/r/PartOf 	guatemalan /r/PartOfguatemarang
hispanic	/r/PartOf 	hispanic /r/PartOfpop culture
venezuela	/r/PartOf 	venezuela /r/PartOfventeer
sudanese	/r/PartOf 	sudanese /r/PartOfsalva
oman	/r/PartOf 	oman /r/PartOfcrown
finnish	/r/PartOf 	finnish /r/PartOfliterary genre
swedish	/r/PartOf 	swedish /r/PartOfswinging
venezuelan	/r/PartOf 	venezuelan /r/PartOfnorthern hemisphere
puerto rican	/r/PartOf 	puerto rican /r/PartOfpalate
ghanaian	/r/PartOf 	ghanaian /r/PartOfyouth group
moroccan	/r/PartOf 	moroccan /r/PartOfmorotic
somalia	/r/PartOf 	somalia /r/PartOfsomoria type
saudi arabian	/r/PartOf 	saudi arabian /r/PartOfmusic genre
syria	/r/PartOf 	syria /r/PartOfmusic genre
chinese	/r/PartOf 	chinese /r/PartOfartificial emotion emotion
pakistani	/r/PartOf 	pakistani /r/PartOfmilitary rank
china	/r/PartOf 	china /r/PartOfcheese sauce
india	/r/PartOf 	india /r/PartOfhindie
irish	/r/PartOf 	irish /r/PartOfoccupation
britain	/r/PartOf 	britain /r/PartOfsailing
france	/r/PartOf 	france /r/PartOfsport facility
greece	/r/PartOf 	greece /r/PartOfcalendar date
scotland	/r/PartOf 	scotland /r/PartOfship type
mexican	/r/PartOf 	mexican /r/PartOfmixed martial arts character
paraguayan	/r/PartOf 	paraguayan /r/PartOfmuseum work
brazil	/r/PartOf 	brazil /r/PartOfceremonious life.
african	/r/PartOf 	african /r/PartOfafrican language part
eritrean	/r/PartOf 	eritrean /r/PartOfcotton
sierra leonean	/r/PartOf 	sierra leonean /r/PartOfyoga
africa	/r/PartOf 	africa /r/PartOfbeige breeding
jordan	/r/PartOf 	jordan /r/PartOfbibliography
indonesia	/r/PartOf 	indonesia /r/PartOfindigenous languages
vietnam	/r/PartOf 	vietnam /r/PartOfterritorial entity
pakistan	/r/PartOf 	pakistan /r/PartOfterrorism in their own country
german	/r/PartOf 	german /r/PartOfoccupation
romania	/r/PartOf 	romania /r/PartOfnarrative technique
brazilian	/r/PartOf 	brazilian /r/PartOfbrazilian literature
ecuadorian	/r/PartOf 	ecuadorian /r/PartOfcricket
mexico	/r/PartOf 	mexico /r/PartOfmusic genres
puerto rico	/r/PartOf 	puerto rico /r/PartOffortified terrace
kenyan	/r/PartOf 	kenyan /r/PartOfsugar-sweetened wine
liberian	/r/PartOf 	liberian /r/PartOffictional country of the state
cameroonian	/r/PartOf 	cameroonian /r/PartOfsouthern hemisphere
african americans	/r/PartOf 	african americans /r/PartOfafrican-american
kenya	/r/PartOf 	kenya /r/PartOfbrown
liberia	/r/PartOf 	liberia /r/PartOfform of government
sierra leon	/r/PartOf 	sierra leon /r/PartOfviolet
qatari	/r/PartOf 	qatari /r/PartOfsport for tennis
syrian	/r/PartOf 	syrian /r/PartOfsyrian
arab	/r/PartOf 	arab /r/PartOfmusic genre
saudi arabia	/r/PartOf 	saudi arabia /r/PartOfsaudi
lebanon	/r/PartOf 	lebanon /r/PartOforange juice
indonesian	/r/PartOf 	indonesian /r/PartOfindonesianic
french	/r/PartOf 	french /r/PartOffrench bread
norwegian	/r/PartOf 	norwegian /r/PartOfjungle
south africa	/r/PartOf 	south africa /r/PartOfnorthwest
jordanian	/r/PartOf 	jordanian /r/PartOfjordanian
korea	/r/PartOf 	korea /r/PartOfkorea
singapore	/r/PartOf 	singapore /r/PartOfseafood salad
romanian	/r/PartOf 	romanian /r/PartOfdrama
crimean	/r/PartOf 	crimean /r/PartOfoccupation
native american	/r/PartOf 	native american /r/PartOfnative person
germany	/r/PartOf 	germany /r/PartOffood ingredient
ireland	/r/PartOf 	ireland /r/PartOfterritorial entity
ecuador	/r/PartOf 	ecuador /r/PartOfcountry of origin
morocco	/r/PartOf 	morocco /r/PartOffish food
omani	/r/PartOf 	omani /r/PartOfemotion
iranian	/r/PartOf 	iranian /r/PartOfaspect of the artist
iraqi	/r/PartOf 	iraqi /r/PartOfjazz guitar
qatar	/r/PartOf 	qatar /r/PartOfsnowfall
turkey	/r/PartOf 	turkey /r/PartOfpiano complex
vietnamese	/r/PartOf 	vietnamese /r/PartOfvietnamese food
nepali	/r/PartOf 	nepali /r/PartOfnepal poisoning
laos	/r/PartOf 	laos /r/PartOfgeographic entity
bangladesh	/r/PartOf 	bangladesh /r/PartOfdong
british	/r/PartOf 	british /r/PartOfcooking area
polish	/r/PartOf 	polish /r/PartOfdecayage
greek	/r/PartOf 	greek /r/PartOfhiking barge
scottish	/r/PartOf 	scottish /r/PartOfchocolate sauce
bolivian	/r/PartOf 	bolivian /r/PartOfmononym
guatemala	/r/PartOf 	guatemala /r/PartOfvacation
ghana	/r/PartOf 	ghana /r/PartOfcannibalism
cameroon	/r/PartOf 	cameroon /r/PartOfcompetition class
japanese	/r/PartOf 	japanese /r/PartOfjapanese culture
taiwanese	/r/PartOf 	taiwanese /r/PartOfshrimp meat
bengali	/r/PartOf 	bengali /r/PartOfclimbing
nepal	/r/PartOf 	nepal /r/PartOfepal
albanian	/r/PartOf 	albanian /r/PartOfdescent
albania	/r/PartOf 	albania /r/PartOfcoconut bread
columbian	/r/PartOf 	columbian /r/PartOfcolor blindness
peruvian	/r/PartOf 	peruvian /r/PartOfchess term
argentian	/r/PartOf 	argentian /r/PartOfmilitary rank
spain	/r/PartOf 	spain /r/PartOfpsychology terminology
paraguay	/r/PartOf 	paraguay /r/PartOfdiver
ethiopian	/r/PartOf 	ethiopian /r/PartOfoccupation
egyptian	/r/PartOf 	egyptian /r/PartOfegyptian culture
persian people	/r/PartOf 	persian people /r/PartOfsales
sweden	/r/PartOf 	sweden /r/PartOfhuman population
crimea	/r/PartOf 	crimea /r/PartOfbadminton competition
portuguese	/r/PartOf 	portuguese /r/PartOfcricket
argentina	/r/PartOf 	argentina /r/PartOfaccident
chile	/r/PartOf 	chile /r/PartOftort
cape verdean	/r/PartOf 	cape verdean /r/PartOfvocal composition
turkish	/r/PartOf 	turkish /r/PartOfturkish country
yemeni	/r/PartOf 	yemeni /r/PartOfsailor
taiwan	/r/PartOf 	taiwan /r/PartOfdeterminate
austrian	/r/PartOf 	austrian /r/PartOfmedical professional
white people	/r/PartOf 	white people /r/PartOfwhite people
finland	/r/PartOf 	finland /r/PartOfship building
australia	/r/PartOf 	australia /r/PartOfadministrative territorial entity
south african	/r/PartOf 	south african /r/PartOfseafood fish
eriteria	/r/PartOf 	eriteria /r/PartOfphenomenon
egypt	/r/PartOf 	egypt /r/PartOfegyptial geography
korean	/r/PartOf 	korean /r/PartOfgreeting
dutch people	/r/PartOf 	dutch people /r/PartOfdutch
peru	/r/PartOf 	peru /r/PartOfnatural history
poland	/r/PartOf 	poland /r/PartOfoil painting
chilean	/r/PartOf 	chilean /r/PartOfcoral arch
columbia	/r/PartOf 	columbia /r/PartOfcinnamon
bolivia	/r/PartOf 	bolivia /r/PartOfbranch of business management
laotian	/r/PartOf 	laotian /r/PartOflaboratory
lebanese	/r/PartOf 	lebanese /r/PartOfcraise
japan	/r/PartOf 	japan /r/PartOfartificial figure
norway	/r/PartOf 	norway /r/PartOfriver
cape verde	/r/PartOf 	cape verde /r/PartOfvertical line
portugal	/r/PartOf 	portugal /r/PartOfnational number
austria	/r/PartOf 	austria /r/PartOfindoor tennis court
singaporean	/r/PartOf 	singaporean /r/PartOfsummer
netherlands	/r/PartOf 	netherlands /r/PartOfterritorial entity
she	/r/PartOf 	she /r/PartOfshe of hearts
he	/r/PartOf 	he /r/PartOfsurgical operation
hers	/r/PartOf 	hers /r/PartOfseafood salad
him	/r/PartOf 	him /r/PartOfsources of information
her	/r/PartOf 	her /r/PartOfherbal medicine
herself	/r/PartOf 	herself /r/PartOfpsychologist
himself	/r/PartOf 	himself /r/PartOfidentity class
his	/r/PartOf 	his /r/PartOfassociation football team
woman	/r/PartOf 	woman /r/PartOfwomen\'s sports
man	/r/PartOf 	man /r/PartOflaborious works
female	/r/PartOf 	female /r/PartOfmale male
male	/r/PartOf 	male /r/PartOffemale activist
lady	/r/PartOf 	lady /r/PartOffolk music
gentleman	/r/PartOf 	gentleman /r/PartOfcognitive scientist
ladies	/r/PartOf 	ladies /r/PartOfassociation football team
gentlemen	/r/PartOf 	gentlemen /r/PartOfhouse
girl	/r/PartOf 	girl /r/PartOffictional human
boy	/r/PartOf 	boy /r/PartOffilm crew member
sir	/r/PartOf 	sir /r/PartOfscholarly article
ma am	/r/PartOf 	ma am /r/PartOfnurse
mother	/r/PartOf 	mother /r/PartOffather or mother by birth
father	/r/PartOf 	father /r/PartOfnoble title
stepmother	/r/PartOf 	stepmother /r/PartOffather
stepfather	/r/PartOf 	stepfather /r/PartOfcousin
daughter	/r/PartOf 	daughter /r/PartOfnervous system disease
son	/r/PartOf 	son /r/PartOfskinship
sister	/r/PartOf 	sister /r/PartOfdietary commitment
brother	/r/PartOf 	brother /r/PartOfsibling
grandmother	/r/PartOf 	grandmother /r/PartOfgrandmother
grandfather	/r/PartOf 	grandfather /r/PartOfgranddaughter
mommy	/r/PartOf 	mommy /r/PartOfsibling
daddy	/r/PartOf 	daddy /r/PartOfrole-playing game
wife	/r/PartOf 	wife /r/PartOfwife
husband	/r/PartOf 	husband /r/PartOfkinship
bride	/r/PartOf 	bride /r/PartOffountain of sand
groom	/r/PartOf 	groom /r/PartOfgarden /r/garden
girlfriend	/r/PartOf 	girlfriend /r/PartOfpregnancy
boyfriend	/r/PartOf 	boyfriend /r/PartOfboyfriend
schoolgirl	/r/PartOf 	schoolgirl /r/PartOfnarrative art
schoolboy	/r/PartOf 	schoolboy /r/PartOfschoolgirl
sharia	/r/PartOf 	sharia /r/PartOfsharia
jihad	/r/PartOf 	jihad /r/PartOfjihadist
christian	/r/PartOf 	christian /r/PartOfreligious icon
muslim	/r/PartOf 	muslim /r/PartOfmuslim musician
islam	/r/PartOf 	islam /r/PartOfterrorism
hindu	/r/PartOf 	hindu /r/PartOfhindu
mohammed	/r/PartOf 	mohammed /r/PartOffictional human
church	/r/PartOf 	church /r/PartOfchurch building
quran	/r/PartOf 	quran /r/PartOfsalma
bible	/r/PartOf 	bible /r/PartOfbiblical archaeology
brahmin	/r/PartOf 	brahmin /r/PartOfbrahm tree
holy trinity	/r/PartOf 	holy trinity /r/PartOfprinciple of law
barber	/r/PartOf 	barber /r/PartOfcarber
coach	/r/PartOf 	coach /r/PartOfgroup of organisms known by one particular common name
businessperson	/r/PartOf 	businessperson /r/PartOfperson
football player	/r/PartOf 	football player /r/PartOffootball player
construction worker	/r/PartOf 	construction worker /r/PartOfoccupation
manager	/r/PartOf 	manager /r/PartOfformer employee
ceo	/r/PartOf 	ceo /r/PartOfscent
accountant	/r/PartOf 	accountant /r/PartOfaccountant
commander	/r/PartOf 	commander /r/PartOfcommander
firefighter	/r/PartOf 	firefighter /r/PartOffirearm crew
mover	/r/PartOf 	mover /r/PartOfposition
software developer	/r/PartOf 	software developer /r/PartOfsoftware engineer
guard	/r/PartOf 	guard /r/PartOfstaff
baker	/r/PartOf 	baker /r/PartOftaste
doctor	/r/PartOf 	doctor /r/PartOfdazzle
athlete	/r/PartOf 	athlete /r/PartOfathlete
artist	/r/PartOf 	artist /r/PartOffilm crew member
dancer	/r/PartOf 	dancer /r/PartOfdrinking game
mathematician	/r/PartOf 	mathematician /r/PartOfmathematical science
janitor	/r/PartOf 	janitor /r/PartOfarchitectural element
carpenter	/r/PartOf 	carpenter /r/PartOfsports commissioner
mechanic	/r/PartOf 	mechanic /r/PartOfoccupation
actor	/r/PartOf 	actor /r/PartOfsheltered building
handyman	/r/PartOf 	handyman /r/PartOfdressed-up artist
musician	/r/PartOf 	musician /r/PartOfmusical artist
detective	/r/PartOf 	detective /r/PartOfdetective
politician	/r/PartOf 	politician /r/PartOfpolitical activist
entrepreneur	/r/PartOf 	entrepreneur /r/PartOfemployee
model	/r/PartOf 	model /r/PartOfeconomic concept
opera singer	/r/PartOf 	opera singer /r/PartOfopera producer
chief	/r/PartOf 	chief /r/PartOfchief
lawyer	/r/PartOf 	lawyer /r/PartOflawyer
farmer	/r/PartOf 	farmer /r/PartOfcivil engineer
writer	/r/PartOf 	writer /r/PartOfposition
librarian	/r/PartOf 	librarian /r/PartOflibrary technician
army	/r/PartOf 	army /r/PartOfarmy
real estate developer	/r/PartOf 	real estate developer /r/PartOfapplied science
broker	/r/PartOf 	broker /r/PartOfbroker
scientist	/r/PartOf 	scientist /r/PartOfscientific researcher
butcher	/r/PartOf 	butcher /r/PartOftortured animals
electrician	/r/PartOf 	electrician /r/PartOfaircraft component
prosecutor	/r/PartOf 	prosecutor /r/PartOfpunishment
banker	/r/PartOf 	banker /r/PartOffictional bank
cook	/r/PartOf 	cook /r/PartOfcooking equipment
hairdresser	/r/PartOf 	hairdresser /r/PartOfhometown
prisoner	/r/PartOf 	prisoner /r/PartOfprisoner
plumber	/r/PartOf 	plumber /r/PartOfdevice
attorney	/r/PartOf 	attorney /r/PartOflegal profession
boxer	/r/PartOf 	boxer /r/PartOfdesigner
chess player	/r/PartOf 	chess player /r/PartOfchess trainer
priest	/r/PartOf 	priest /r/PartOfposition
swimmer	/r/PartOf 	swimmer /r/PartOfsports discipline
tennis player	/r/PartOf 	tennis player /r/PartOftennis tour
supervisor	/r/PartOf 	supervisor /r/PartOfsuperior officer
attendant	/r/PartOf 	attendant /r/PartOfkinship
housekeeper	/r/PartOf 	housekeeper /r/PartOffarm worker
maid	/r/PartOf 	maid /r/PartOfmaiden
producer	/r/PartOf 	producer /r/PartOffilm crew member
researcher	/r/PartOf 	researcher /r/PartOfsports medicine
midwife	/r/PartOf 	midwife /r/PartOffemale human
judge	/r/PartOf 	judge /r/PartOfjudge
umpire	/r/PartOf 	umpire /r/PartOfwheeling
bartender	/r/PartOf 	bartender /r/PartOfcarpet dress
economist	/r/PartOf 	economist /r/PartOfeconomic branch
physicist	/r/PartOf 	physicist /r/PartOfscience fiction character
psychologist	/r/PartOf 	psychologist /r/PartOfpsychologist
theologian	/r/PartOf 	theologian /r/PartOfoccupation
salesperson	/r/PartOf 	salesperson /r/PartOfperson
physician	/r/PartOf 	physician /r/PartOfprofessional
sheriff	/r/PartOf 	sheriff /r/PartOfpublic function
cashier	/r/PartOf 	cashier /r/PartOfspecialty
assistant	/r/PartOf 	assistant /r/PartOfassistant
receptionist	/r/PartOf 	receptionist /r/PartOfreceptionist
editor	/r/PartOf 	editor /r/PartOfposition
engineer	/r/PartOf 	engineer /r/PartOfengineering process
comedian	/r/PartOf 	comedian /r/PartOfcomedian and
painter	/r/PartOf 	painter /r/PartOfpainting tool
civil servant	/r/PartOf 	civil servant /r/PartOfservant
diplomat	/r/PartOf 	diplomat /r/PartOfgovernment office
guitarist	/r/PartOf 	guitarist /r/PartOfhouse band
linguist	/r/PartOf 	linguist /r/PartOfoccupation
poet	/r/PartOf 	poet /r/PartOftennis terminology
laborer	/r/PartOf 	laborer /r/PartOffarm worker
teacher	/r/PartOf 	teacher /r/PartOfscholar
delivery man	/r/PartOf 	delivery man /r/PartOfconverter
realtor	/r/PartOf 	realtor /r/PartOfcoach
pilot	/r/PartOf 	pilot /r/PartOfcockpit
professor	/r/PartOf 	professor /r/PartOfoccupation
chemist	/r/PartOf 	chemist /r/PartOfnoble title
historian	/r/PartOf 	historian /r/PartOfhistorical profession
pensioner	/r/PartOf 	pensioner /r/PartOflegal case
performing artist	/r/PartOf 	performing artist /r/PartOfartist type
singer	/r/PartOf 	singer /r/PartOfsports discipline
secretary	/r/PartOf 	secretary /r/PartOfofficial
auditor	/r/PartOf 	auditor /r/PartOfadministrator
counselor	/r/PartOf 	counselor /r/PartOfbribery
designer	/r/PartOf 	designer /r/PartOfdesigner
soldier	/r/PartOf 	soldier /r/PartOfmilitary rank
journalist	/r/PartOf 	journalist /r/PartOfjournalist
dentist	/r/PartOf 	dentist /r/PartOfdental surgeon
analyst	/r/PartOf 	analyst /r/PartOfacademic major
nurse	/r/PartOf 	nurse /r/PartOfneurology
tailor	/r/PartOf 	tailor /r/PartOffilm crew person
waiter	/r/PartOf 	waiter /r/PartOfoccupation
author	/r/PartOf 	author /r/PartOfuser information
architect	/r/PartOf 	architect /r/PartOfarchitectural style
academic	/r/PartOf 	academic /r/PartOfcompetent of course
director	/r/PartOf 	director /r/PartOfpolitical party
illustrator	/r/PartOf 	illustrator /r/PartOfeditor
clerk	/r/PartOf 	clerk /r/PartOfcluster
policeman	/r/PartOf 	policeman /r/PartOfoccupation
chef	/r/PartOf 	chef /r/PartOfchef
photographer	/r/PartOf 	photographer /r/PartOfphotographer
drawer	/r/PartOf 	drawer /r/PartOfoccupation
cleaner	/r/PartOf 	cleaner /r/PartOfwater supply
pharmacist	/r/PartOf 	pharmacist /r/PartOfphilosophical activity
pianist	/r/PartOf 	pianist /r/PartOfmusic director
composer	/r/PartOf 	composer /r/PartOfcompetition
handball player	/r/PartOf 	handball player /r/PartOfoccupation
sociologist	/r/PartOf 	sociologist /r/PartOfscholar
african american	/r/MadeOf 	african american /r/MadeOfbeaver
armenian	/r/MadeOf 	armenian /r/MadeOfartificial figure
persian	/r/MadeOf 	persian /r/MadeOfpersian
american	/r/MadeOf 	american /r/MadeOfoccupation
filipino	/r/MadeOf 	filipino /r/MadeOfanimal fat
english	/r/MadeOf 	english /r/MadeOfsports terminology
norwegian	/r/MadeOf 	norwegian /r/MadeOfnocturnal person
dutch	/r/MadeOf 	dutch /r/MadeOfbanking system
israeli	/r/MadeOf 	israeli /r/MadeOfoccupation
nigerian	/r/MadeOf 	nigerian /r/MadeOfnigga
ethiopia	/r/MadeOf 	ethiopia /r/MadeOfcabinet
europe	/r/MadeOf 	europe /r/MadeOfisland zone
european	/r/MadeOf 	european /r/MadeOfeuropean union
russian	/r/MadeOf 	russian /r/MadeOfmilitary authority
ukraine	/r/MadeOf 	ukraine /r/MadeOfhusseshoe
sudan	/r/MadeOf 	sudan /r/MadeOfsudan and its chemical compound
afghanistan	/r/MadeOf 	afghanistan /r/MadeOfinfluence
iraq	/r/MadeOf 	iraq /r/MadeOftorture
yemen	/r/MadeOf 	yemen /r/MadeOfmaternal aunt
ukrainian	/r/MadeOf 	ukrainian /r/MadeOfasians
russia	/r/MadeOf 	russia /r/MadeOfscholarly article
italy	/r/MadeOf 	italy /r/MadeOfmusical profession
somali	/r/MadeOf 	somali /r/MadeOfsomalian religion
iran	/r/MadeOf 	iran /r/MadeOfreligious organisation
afghan	/r/MadeOf 	afghan /r/MadeOfnarrowly defined region
indian	/r/MadeOf 	indian /r/MadeOflanguage variety
italian	/r/MadeOf 	italian /r/MadeOfexterior
australian	/r/MadeOf 	australian /r/MadeOfsouthern hemisphere
spanish	/r/MadeOf 	spanish /r/MadeOfsynthetic resin
guatemalan	/r/MadeOf 	guatemalan /r/MadeOfguanamanese
hispanic	/r/MadeOf 	hispanic /r/MadeOfdomestic dog
venezuela	/r/MadeOf 	venezuela /r/MadeOfliquor
sudanese	/r/MadeOf 	sudanese /r/MadeOfcricket
oman	/r/MadeOf 	oman /r/MadeOfliterary genre
finnish	/r/MadeOf 	finnish /r/MadeOffolk culture
swedish	/r/MadeOf 	swedish /r/MadeOfbitch
venezuelan	/r/MadeOf 	venezuelan /r/MadeOfmusic genre
puerto rican	/r/MadeOf 	puerto rican /r/MadeOfpregnant woman
ghanaian	/r/MadeOf 	ghanaian /r/MadeOfnorthern region
moroccan	/r/MadeOf 	moroccan /r/MadeOffictional character
somalia	/r/MadeOf 	somalia /r/MadeOffishing industry
saudi arabian	/r/MadeOf 	saudi arabian /r/MadeOfscholarly article
syria	/r/MadeOf 	syria /r/MadeOfpsychology terminology
chinese	/r/MadeOf 	chinese /r/MadeOfchess terminology
pakistani	/r/MadeOf 	pakistani /r/MadeOfwisdom
china	/r/MadeOf 	china /r/MadeOfchinese food dish
india	/r/MadeOf 	india /r/MadeOfindian state
irish	/r/MadeOf 	irish /r/MadeOfscholarly article
britain	/r/MadeOf 	britain /r/MadeOfbritain culture
france	/r/MadeOf 	france /r/MadeOffortification
greece	/r/MadeOf 	greece /r/MadeOfgeographic object
scotland	/r/MadeOf 	scotland /r/MadeOfship of worship
mexican	/r/MadeOf 	mexican /r/MadeOfliterary genre
paraguayan	/r/MadeOf 	paraguayan /r/MadeOfparag
brazil	/r/MadeOf 	brazil /r/MadeOflabor place
african	/r/MadeOf 	african /r/MadeOfartistic structure
eritrean	/r/MadeOf 	eritrean /r/MadeOfnude
sierra leonean	/r/MadeOf 	sierra leonean /r/MadeOffishing vessel
africa	/r/MadeOf 	africa /r/MadeOfagricultural area
jordan	/r/MadeOf 	jordan /r/MadeOfmilitary rank
indonesia	/r/MadeOf 	indonesia /r/MadeOfindoor sports
vietnam	/r/MadeOf 	vietnam /r/MadeOftension island
pakistan	/r/MadeOf 	pakistan /r/MadeOfgeographical area
german	/r/MadeOf 	german /r/MadeOfbronze
romania	/r/MadeOf 	romania /r/MadeOfmanga
brazilian	/r/MadeOf 	brazilian /r/MadeOfcricket player
ecuadorian	/r/MadeOf 	ecuadorian /r/MadeOfsoutheast
mexico	/r/MadeOf 	mexico /r/MadeOfhuman figure
puerto rico	/r/MadeOf 	puerto rico /r/MadeOfcoffee drinking
kenyan	/r/MadeOf 	kenyan /r/MadeOfcolor
liberian	/r/MadeOf 	liberian /r/MadeOfindigenous
cameroonian	/r/MadeOf 	cameroonian /r/MadeOfmeteorological information source
african americans	/r/MadeOf 	african americans /r/MadeOfcricket
kenya	/r/MadeOf 	kenya /r/MadeOffruit vegetable
liberia	/r/MadeOf 	liberia /r/MadeOflibertarian political group
sierra leon	/r/MadeOf 	sierra leon /r/MadeOfsnowboarding
qatari	/r/MadeOf 	qatari /r/MadeOfyar
syrian	/r/MadeOf 	syrian /r/MadeOfsyrian food and drink
arab	/r/MadeOf 	arab /r/MadeOfnarrative format
saudi arabia	/r/MadeOf 	saudi arabia /r/MadeOfarsenic
lebanon	/r/MadeOf 	lebanon /r/MadeOffleece
indonesian	/r/MadeOf 	indonesian /r/MadeOfindonesian state
french	/r/MadeOf 	french /r/MadeOfbarmy
norwegian	/r/MadeOf 	norwegian /r/MadeOfmusic terminology
south africa	/r/MadeOf 	south africa /r/MadeOfindocean
jordanian	/r/MadeOf 	jordanian /r/MadeOfjaxer
korea	/r/MadeOf 	korea /r/MadeOfcultural heritage area
singapore	/r/MadeOf 	singapore /r/MadeOflandscape landscape
romanian	/r/MadeOf 	romanian /r/MadeOfreligious culture
crimean	/r/MadeOf 	crimean /r/MadeOfcrime victim
native american	/r/MadeOf 	native american /r/MadeOfartistic technique
germany	/r/MadeOf 	germany /r/MadeOffarm income
ireland	/r/MadeOf 	ireland /r/MadeOfgeographic region
ecuador	/r/MadeOf 	ecuador /r/MadeOffictional location
morocco	/r/MadeOf 	morocco /r/MadeOffishing vessel
omani	/r/MadeOf 	omani /r/MadeOfmetroelectric power station
iranian	/r/MadeOf 	iranian /r/MadeOfdwarf
iraqi	/r/MadeOf 	iraqi /r/MadeOfreligious scholar
qatar	/r/MadeOf 	qatar /r/MadeOfship type
turkey	/r/MadeOf 	turkey /r/MadeOffood ingredient
vietnamese	/r/MadeOf 	vietnamese /r/MadeOfvietnamese people
nepali	/r/MadeOf 	nepali /r/MadeOfhistorical fiction
laos	/r/MadeOf 	laos /r/MadeOfshade of yellow
bangladesh	/r/MadeOf 	bangladesh /r/MadeOfbicycle seat
british	/r/MadeOf 	british /r/MadeOfchess terminology
polish	/r/MadeOf 	polish /r/MadeOfpainting technique
greek	/r/MadeOf 	greek /r/MadeOfgeographical region
scottish	/r/MadeOf 	scottish /r/MadeOfhuman action
